0,norms
"dessert wine,tomatoes,ground beef,salmon,hot dogs","dessert wine,ground beef,hot dogs,salmon,tomatoes"
"ham,ground beef,spaghetti,frozen smoothie,champagne","champagne,frozen smoothie,ground beef,ham,spaghetti"
"ground beef,french fries,mushroom cream sauce,brownies","brownies,french fries,ground beef,mushroom cream sauce"
"shrimp,frozen vegetables,ground beef,spaghetti,mineral water","frozen vegetables,ground beef,mineral water,shrimp,spaghetti"
"french fries,protein bar","french fries,protein bar"
escalope,escalope
"blueberries,clothes accessories,french fries,frozen smoothie,escalope,fresh bread","blueberries,clothes accessories,escalope,french fries,fresh bread,frozen smoothie"
"burgers,mineral water,flax seed,gums,cereals","burgers,cereals,flax seed,gums,mineral water"
"milk,cooking oil,low fat yogurt","cooking oil,low fat yogurt,milk"
"ham,grated cheese,tomatoes,ground beef,spaghetti,mineral water,french wine,honey,rice,cooking oil,ketchup,pancakes,magazines","cooking oil,french wine,grated cheese,ground beef,ham,honey,ketchup,magazines,mineral water,pancakes,rice,spaghetti,tomatoes"
"frozen vegetables,fromage blanc,pancakes,french fries,escalope","escalope,french fries,fromage blanc,frozen vegetables,pancakes"
"ground beef,spaghetti,mineral water,olive oil,french wine,salmon,cereals,white wine,low fat yogurt","cereals,french wine,ground beef,low fat yogurt,mineral water,olive oil,salmon,spaghetti,white wine"
"frozen vegetables,spaghetti,eggs,bug spray,cooking oil,french fries,escalope,hot dogs","bug spray,cooking oil,eggs,escalope,french fries,frozen vegetables,hot dogs,spaghetti"
"burgers,red wine,shrimp,mineral water,rice,french fries,strawberries,protein bar,tomato juice,cauliflower","burgers,cauliflower,french fries,mineral water,protein bar,red wine,rice,shrimp,strawberries,tomato juice"
chocolate,chocolate
"hot dogs,shampoo","hot dogs,shampoo"
"herb & pepper,spaghetti,pancakes,low fat yogurt,green tea","green tea,herb pepper,low fat yogurt,pancakes,spaghetti"
"mineral water,mint green tea,french fries","french fries,mineral water,mint green tea"
"fresh tuna,spaghetti,mineral water,pancakes,whole weat flour,champagne,hot dogs,tomato juice,green tea","champagne,fresh tuna,green tea,hot dogs,mineral water,pancakes,spaghetti,tomato juice,whole weat flour"
"bacon,light mayo,low fat yogurt","bacon,light mayo,low fat yogurt"
"turkey,fresh tuna,spaghetti,fromage blanc,eggs,honey,bramble,green tea,escalope,cottage cheese","bramble,cottage cheese,eggs,escalope,fresh tuna,fromage blanc,green tea,honey,spaghetti,turkey"
"red wine,chocolate,soda,pet food,french fries,champagne","champagne,chocolate,french fries,pet food,red wine,soda"
"olive oil,pancakes,toothpaste","olive oil,pancakes,toothpaste"
toothpaste,toothpaste
"energy bar,champagne","champagne,energy bar"
"frozen vegetables,tomatoes,milk,salmon","frozen vegetables,milk,salmon,tomatoes"
"milk,chocolate","chocolate,milk"
"mineral water,avocado,olive oil,muffins,green tea,french fries,escalope","avocado,escalope,french fries,green tea,mineral water,muffins,olive oil"
chocolate,chocolate
cookies,cookies
"frozen vegetables,mineral water,milk,olive oil,eggs,chocolate,escalope,yogurt cake","chocolate,eggs,escalope,frozen vegetables,milk,mineral water,olive oil,yogurt cake"
escalope,escalope
"grated cheese,ground beef,tomato sauce,spaghetti,mineral water,fromage blanc,pancakes,cooking oil,frozen smoothie,tomato juice","cooking oil,fromage blanc,frozen smoothie,grated cheese,ground beef,mineral water,pancakes,spaghetti,tomato juice,tomato sauce"
"hot dogs,light mayo","hot dogs,light mayo"
eggs,eggs
"shrimp,spaghetti","shrimp,spaghetti"
"burgers,frozen vegetables,spaghetti,mineral water,pancakes,champagne,protein bar,hand protein bar","burgers,champagne,frozen vegetables,hand protein bar,mineral water,pancakes,protein bar,spaghetti"
"frozen vegetables,frozen smoothie,light mayo","frozen smoothie,frozen vegetables,light mayo"
mineral water,mineral water
cookies,cookies
"mineral water,olive oil","mineral water,olive oil"
eggs,eggs
"burgers,french fries,frozen smoothie,hot dogs,strawberries,green tea","burgers,french fries,frozen smoothie,green tea,hot dogs,strawberries"
"frozen vegetables,muffins,green grapes","frozen vegetables,green grapes,muffins"
escalope,escalope
"pancakes,cookies,green tea","cookies,green tea,pancakes"
"french fries,cookies","cookies,french fries"
"mineral water,avocado,cake,pet food,eggplant,french fries,escalope,mushroom cream sauce,fresh bread,toothpaste","avocado,cake,eggplant,escalope,french fries,fresh bread,mineral water,mushroom cream sauce,pet food,toothpaste"
champagne,champagne
cookies,cookies
"milk,chicken,eggs,pancakes","chicken,eggs,milk,pancakes"
chocolate,chocolate
"turkey,soup,spinach,french fries,salt","french fries,salt,soup,spinach,turkey"
"milk,cake","cake,milk"
"escalope,shallot,white wine","escalope,shallot,white wine"
"frozen vegetables,milk,chicken","chicken,frozen vegetables,milk"
"butter,whole wheat rice,low fat yogurt","butter,low fat yogurt,whole wheat rice"
"shrimp,tomatoes,carrots,chocolate,low fat yogurt","carrots,chocolate,low fat yogurt,shrimp,tomatoes"
low fat yogurt,low fat yogurt
"french fries,cookies,mushroom cream sauce,honey","cookies,french fries,honey,mushroom cream sauce"
"frozen vegetables,avocado,chocolate,french fries,escalope,champagne,fresh bread","avocado,champagne,chocolate,escalope,french fries,fresh bread,frozen vegetables"
"chocolate,escalope","chocolate,escalope"
"cookies,strawberries","cookies,strawberries"
"pepper,spaghetti,mineral water,milk,pancakes,cake,white wine,green tea","cake,green tea,milk,mineral water,pancakes,pepper,spaghetti,white wine"
"cake,french fries","cake,french fries"
"frozen vegetables,milk,almonds,whole wheat rice,cooking oil,chocolate,french fries,light mayo,low fat yogurt","almonds,chocolate,cooking oil,french fries,frozen vegetables,light mayo,low fat yogurt,milk,whole wheat rice"
"red wine,spaghetti,mineral water,cider,french fries,cookies,pancakes,energy drink","cider,cookies,energy drink,french fries,mineral water,pancakes,red wine,spaghetti"
"tomatoes,mineral water,green tea,chocolate,frozen smoothie,escalope","chocolate,escalope,frozen smoothie,green tea,mineral water,tomatoes"
french fries,french fries
"grated cheese,frozen vegetables,tomatoes,mineral water,olive oil,protein bar,hand protein bar,fresh bread,green tea","fresh bread,frozen vegetables,grated cheese,green tea,hand protein bar,mineral water,olive oil,protein bar,tomatoes"
eggs,eggs
"olive oil,eggs","eggs,olive oil"
"french fries,cottage cheese","cottage cheese,french fries"
"chocolate,almonds,vegetables mix,cake,french fries,frozen smoothie,pancakes,energy drink","almonds,cake,chocolate,energy drink,french fries,frozen smoothie,pancakes,vegetables mix"
cookies,cookies
"frozen vegetables,mineral water,meatballs,butter,eggs","butter,eggs,frozen vegetables,meatballs,mineral water"
"mineral water,energy bar,chocolate,low fat yogurt","chocolate,energy bar,low fat yogurt,mineral water"
"milk,french fries,brownies","brownies,french fries,milk"
"burgers,milk,cake,eggplant,green tea","burgers,cake,eggplant,green tea,milk"
"turkey,spaghetti,mineral water,chocolate,eggs,cooking oil,pet food,cookies,protein bar","chocolate,cookies,cooking oil,eggs,mineral water,pet food,protein bar,spaghetti,turkey"
"ham,ground beef,spaghetti,milk,olive oil,french wine,muffins,pancakes,whole weat flour,cottage cheese,green tea","cottage cheese,french wine,green tea,ground beef,ham,milk,muffins,olive oil,pancakes,spaghetti,whole weat flour"
cookies,cookies
"frozen vegetables,whole wheat pasta,ground beef,spaghetti,milk,chicken,eggs,french fries,green tea","chicken,eggs,french fries,frozen vegetables,green tea,ground beef,milk,spaghetti,whole wheat pasta"
"milk,fromage blanc,salmon,eggs","eggs,fromage blanc,milk,salmon"
low fat yogurt,low fat yogurt
"flax seed,eggs,chicken,green tea","chicken,eggs,flax seed,green tea"
tomatoes,tomatoes
green tea,green tea
"burgers,ground beef,mineral water,meatballs,milk,eggs,cake","burgers,cake,eggs,ground beef,meatballs,milk,mineral water"
"mineral water,candy bars","candy bars,mineral water"
"turkey,burgers,shrimp,tomatoes,cooking oil","burgers,cooking oil,shrimp,tomatoes,turkey"
cookies,cookies
"mineral water,chocolate,milk,energy bar,white wine","chocolate,energy bar,milk,mineral water,white wine"
"eggs,french fries","eggs,french fries"
"tomatoes,eggs","eggs,tomatoes"
cookies,cookies
"shrimp,frozen vegetables,tomatoes,parmesan cheese,ground beef,spaghetti,eggs,cake,oatmeal,cereals","cake,cereals,eggs,frozen vegetables,ground beef,oatmeal,parmesan cheese,shrimp,spaghetti,tomatoes"
"frozen vegetables,whole wheat rice","frozen vegetables,whole wheat rice"
"shrimp,avocado,candy bars","avocado,candy bars,shrimp"
"shrimp,tomatoes,mineral water,cooking oil","cooking oil,mineral water,shrimp,tomatoes"
"chocolate,almonds,vegetables mix,eggs,whole wheat rice,frozen smoothie,cottage cheese","almonds,chocolate,cottage cheese,eggs,frozen smoothie,vegetables mix,whole wheat rice"
"melons,candy bars","candy bars,melons"
whole wheat rice,whole wheat rice
low fat yogurt,low fat yogurt
"frozen vegetables,tomatoes,mineral water,soup,milk,whole wheat rice,cake,cereals","cake,cereals,frozen vegetables,milk,mineral water,soup,tomatoes,whole wheat rice"
"eggs,chocolate,french fries","chocolate,eggs,french fries"
"burgers,eggs,barbecue sauce,french fries","barbecue sauce,burgers,eggs,french fries"
"burgers,shallot","burgers,shallot"
"mineral water,milk","milk,mineral water"
"tomatoes,energy bar,cake,tomato juice","cake,energy bar,tomato juice,tomatoes"
"milk,chocolate","chocolate,milk"
"milk,chicken,eggs","chicken,eggs,milk"
"burgers,shrimp,chocolate,pancakes,eggs,cooking oil,french fries","burgers,chocolate,cooking oil,eggs,french fries,pancakes,shrimp"
"shrimp,milk,tomato juice","milk,shrimp,tomato juice"
"butter,flax seed,green tea,magazines","butter,flax seed,green tea,magazines"
"burgers,cottage cheese","burgers,cottage cheese"
"mineral water,whole wheat rice,cake,rice,cooking oil,chicken,french fries,cookies","cake,chicken,cookies,cooking oil,french fries,mineral water,rice,whole wheat rice"
"shrimp,spaghetti,mineral water,bacon,eggs,brownies","bacon,brownies,eggs,mineral water,shrimp,spaghetti"
"grated cheese,shrimp,tomatoes,spaghetti,mineral water","grated cheese,mineral water,shrimp,spaghetti,tomatoes"
cookies,cookies
"cookies,low fat yogurt","cookies,low fat yogurt"
clothes accessories,clothes accessories
hot dogs,hot dogs
"ground beef,olive oil,oil,antioxydant juice","antioxydant juice,ground beef,oil,olive oil"
"ham,spaghetti,mineral water,eggs,chicken,green tea,chocolate,frozen smoothie","chicken,chocolate,eggs,frozen smoothie,green tea,ham,mineral water,spaghetti"
"mineral water,eggs,whole wheat rice,chocolate,escalope","chocolate,eggs,escalope,mineral water,whole wheat rice"
eggs,eggs
"grated cheese,ground beef,rice","grated cheese,ground beef,rice"
"spaghetti,body spray","body spray,spaghetti"
"mineral water,green tea","green tea,mineral water"
"chocolate,french fries","chocolate,french fries"
"burgers,shrimp,spaghetti,olive oil,salmon,cooking oil,escalope,tomato juice","burgers,cooking oil,escalope,olive oil,salmon,shrimp,spaghetti,tomato juice"
"herb & pepper,mineral water,soup,milk,french wine,pancakes,eggs,honey,oil,champagne,magazines,mayonnaise","champagne,eggs,french wine,herb pepper,honey,magazines,mayonnaise,milk,mineral water,oil,pancakes,soup"
vegetables mix,vegetables mix
barbecue sauce,barbecue sauce
milk,milk
"ham,tomatoes,avocado,fromage blanc,pancakes,eggs,honey,whole wheat rice,cake,gums,light mayo","avocado,cake,eggs,fromage blanc,gums,ham,honey,light mayo,pancakes,tomatoes,whole wheat rice"
"frozen vegetables,ground beef,spaghetti,mineral water,milk,black tea,pancakes,eggs,cooking oil,barbecue sauce,chocolate","barbecue sauce,black tea,chocolate,cooking oil,eggs,frozen vegetables,ground beef,milk,mineral water,pancakes,spaghetti"
"tomatoes,milk","milk,tomatoes"
"eggs,green tea","eggs,green tea"
ground beef,ground beef
"frozen vegetables,whole wheat pasta,olive oil,eggs,carrots,green tea,french fries,cottage cheese","carrots,cottage cheese,eggs,french fries,frozen vegetables,green tea,olive oil,whole wheat pasta"
"olive oil,cake,chocolate","cake,chocolate,olive oil"
"burgers,red wine,shrimp,mineral water,milk,honey","burgers,honey,milk,mineral water,red wine,shrimp"
"turkey,burgers,eggs,french fries,pasta,green tea","burgers,eggs,french fries,green tea,pasta,turkey"
"ham,ground beef,spaghetti,olive oil,vegetables mix,muffins","ground beef,ham,muffins,olive oil,spaghetti,vegetables mix"
"mineral water,cookies","cookies,mineral water"
"cottage cheese,mayonnaise","cottage cheese,mayonnaise"
"chicken,oil,cookies,brownies,tomato juice,toothpaste","brownies,chicken,cookies,oil,tomato juice,toothpaste"
"mineral water,whole wheat rice,escalope,low fat yogurt","escalope,low fat yogurt,mineral water,whole wheat rice"
"shrimp,pepper,energy bar,cooking oil,escalope,fresh bread","cooking oil,energy bar,escalope,fresh bread,pepper,shrimp"
"frozen vegetables,whole wheat rice,cake","cake,frozen vegetables,whole wheat rice"
"burgers,french wine,eggs,barbecue sauce,cottage cheese,melons,fresh bread,white wine","barbecue sauce,burgers,cottage cheese,eggs,french wine,fresh bread,melons,white wine"
"mineral water,green tea,honey","green tea,honey,mineral water"
chili,chili
"shrimp,tomatoes,ground beef,mineral water,oil","ground beef,mineral water,oil,shrimp,tomatoes"
"herb & pepper,ground beef,spaghetti,salmon,muffins,eggs,chicken","chicken,eggs,ground beef,herb pepper,muffins,salmon,spaghetti"
cookies,cookies
frozen vegetables,frozen vegetables
"energy bar,chocolate bread,whole weat flour,mint","chocolate bread,energy bar,mint,whole weat flour"
cookies,cookies
"ham,grated cheese,frozen vegetables,ground beef,spaghetti","frozen vegetables,grated cheese,ground beef,ham,spaghetti"
"chicken,eggs","chicken,eggs"
"ham,spaghetti,mineral water,eggs,green tea","eggs,green tea,ham,mineral water,spaghetti"
"burgers,frozen vegetables,tomatoes,soup,energy bar,escalope","burgers,energy bar,escalope,frozen vegetables,soup,tomatoes"
"turkey,burgers,frozen vegetables,ground beef,mineral water,almonds,salmon,barbecue sauce,carrots,hot dogs","almonds,barbecue sauce,burgers,carrots,frozen vegetables,ground beef,hot dogs,mineral water,salmon,turkey"
"burgers,butter,escalope,cauliflower","burgers,butter,cauliflower,escalope"
"mineral water,chocolate,chicken,escalope","chicken,chocolate,escalope,mineral water"
"mineral water,black tea,almonds,pancakes,eggs","almonds,black tea,eggs,mineral water,pancakes"
"salmon,vegetables mix","salmon,vegetables mix"
"ground beef,spaghetti,milk,zucchini","ground beef,milk,spaghetti,zucchini"
"tomatoes,spaghetti,mineral water,milk,rice,oil","milk,mineral water,oil,rice,spaghetti,tomatoes"
chocolate,chocolate
french fries,french fries
"dessert wine,chocolate,spaghetti,salmon,cooking oil,protein bar,hand protein bar","chocolate,cooking oil,dessert wine,hand protein bar,protein bar,salmon,spaghetti"
"shrimp,tomatoes,mineral water,chicken,whole weat flour,cottage cheese,body spray,fresh bread","body spray,chicken,cottage cheese,fresh bread,mineral water,shrimp,tomatoes,whole weat flour"
salt,salt
"shrimp,soup,butter","butter,shrimp,soup"
"fresh tuna,mineral water,eggs","eggs,fresh tuna,mineral water"
"red wine,cooking oil,french fries","cooking oil,french fries,red wine"
cookies,cookies
"burgers,eggs","burgers,eggs"
"eggs,cookies","cookies,eggs"
"burgers,french fries,yogurt cake","burgers,french fries,yogurt cake"
